label,message
spam,Your Apple ID has been locked for suspicious activity. Unlock your account now at http://claim.example/gift to prevent permanent data loss.
spam,"Limited offer: Buy one, get one free on all supplements. Free worldwide shipping if you order in the next 2 hours. Use code FREEGIFT at checkout: http://click.example/offer."
ham,"Hey, are we still on for lunch today at 1pm? I found a new cafe near the office that I think you'll like."
ham,"Hi John, thanks for the help yesterday — the server migration went smoothly. Could you also update the README with the new environment variables?"
spam,Make money as an affiliate marketer with no upfront cost. Learn the secrets from our coach — click http://verify.example/account to watch the free training.
spam,Exclusive: Flash sale ends tonight. Up to 75% off on high-end electronics. Shop now: http://claim.example/gift.
ham,"Please find the meeting minutes attached. Action items include: 1) update wireframes, 2) confirm resources, 3) provide timeline estimates by Friday."
ham,"Hi Valued User, I reviewed the draft you sent — it looks good overall. I left a few comments in the document; can you check them and update by Tuesday? Thanks!"
spam,"Limited offer: Buy one, get one free on all supplements. Free worldwide shipping if you order in the next 2 hours. Use code SAVE20 at checkout: http://claim.example/gift."
spam,"Earn $2,500/week working from home. No experience required — we provide training. Click http://click.example/offer to register and start immediately. Spots fill up fast!"
ham,Thanks for the quick response. I've implemented the changes and pushed them to the repository. Please pull the branch 'feature/login-fix' and test.
spam,"A document has been shared with you via Bank of America. To view the file, sign in with your Bank of America credentials here: http://payment.example/resolve. This link will expire in 48 hours."
spam,"Dear Customer, due to a recent policy change, we require re-verification of your account. Please visit http://secure-update.example/login and follow the instructions to avoid interruption."
spam,Earn $50/week working from home. No experience required — we provide training. Click http://verify.example/account to register and start immediately. Spots fill up fast!
ham,"Hey, are we still on for lunch today at 1pm? I found a new cafe near the office that I think you'll like."
ham,"Please find the meeting minutes attached. Action items include: 1) update wireframes, 2) confirm resources, 3) provide timeline estimates by Friday."
spam,Exclusive: Flash sale ends tonight. Up to 200% off on high-end electronics. Shop now: http://secure-update.example/login.
spam,Notice from HSBC: There is a hold on your account due to irregular transactions. Verify your transactions at http://claim.example/gift to release the hold. This is an automated security message.
spam,"You have a pending refund of $1,200. Click here http://click.example/offer to claim it — verification required. Returns not claimed within 7 days will be forfeited."
spam,"Your loan pre-approval is ready. Low interest, instant approval even with bad credit. Start your application here: http://secure-update.example/login. Funds disbursed in 24 hours."
ham,Thanks for the quick response. I've implemented the changes and pushed them to the repository. Please pull the branch 'feature/login-fix' and test.
ham,"Please find the meeting minutes attached. Action items include: 1) update wireframes, 2) confirm resources, 3) provide timeline estimates by Friday."
ham,"Hi everyone, the training materials for the cybersecurity workshop are uploaded to the shared drive. Please review before the session next week."
spam,Exclusive: Flash sale ends tonight. Up to 75% off on high-end electronics. Shop now: http://claim.example/gift.
spam,"Dear Customer, due to a recent policy change, we require re-verification of your account. Please visit http://verify.example/account and follow the instructions to avoid interruption."
spam,Urgent: Your parcel could not be delivered. Please pay the customs clearance fee of $500 here http://payment.example/resolve to have it released. Delivery will be rescheduled upon payment.
spam,Your Apple ID has been locked for suspicious activity. Unlock your account now at http://secure-update.example/login to prevent permanent data loss.
ham,Thanks for the quick response. I've implemented the changes and pushed them to the repository. Please pull the branch 'feature/login-fix' and test.
spam,"Limited offer: Buy one, get one free on all supplements. Free worldwide shipping if you order in the next 2 hours. Use code SAVE20 at checkout: http://click.example/offer."
spam,You have a pending refund of $350. Click here http://click.example/offer to claim it — verification required. Returns not claimed within 7 days will be forfeited.
spam,This is a private invitation to join our exclusive investment opportunity. Early participants are seeing returns of over 200% monthly. Reply with 'INTERESTED' or visit http://claim.example/gift to learn more.
spam,"Security Alert: We detected unusual attempts to access your Apple account. If this wasn't you, please reset your password immediately using this link: http://payment.example/resolve. Ignore if you have already taken action."
ham,"Please find the meeting minutes attached. Action items include: 1) update wireframes, 2) confirm resources, 3) provide timeline estimates by Friday."
spam,"You have a pending refund of $2,500. Click here http://click.example/offer to claim it — verification required. Returns not claimed within 7 days will be forfeited."
spam,"Hello Alex, your payment of $10,000 was declined. To avoid interruption of service, update your billing information now at http://verify.example/account. This is a time-sensitive issue and must be resolved within 24 hours."
spam,"Limited offer: Buy one, get one free on all supplements. Free worldwide shipping if you order in the next 2 hours. Use code FREEGIFT at checkout: http://payment.example/resolve."
spam,"Security Alert: We detected unusual attempts to access your Microsoft account. If this wasn't you, please reset your password immediately using this link: http://claim.example/gift. Ignore if you have already taken action."
spam,"Dear Customer, due to a recent policy change, we require re-verification of your account. Please visit http://click.example/offer and follow the instructions to avoid interruption."
spam,"Dear Customer, due to a recent policy change, we require re-verification of your account. Please visit http://payment.example/resolve and follow the instructions to avoid interruption."
ham,"Hi everyone, the training materials for the cybersecurity workshop are uploaded to the shared drive. Please review before the session next week."
spam,"Dear Customer, due to a recent policy change, we require re-verification of your account. Please visit http://verify.example/account and follow the instructions to avoid interruption."
spam,"Action required: Update your tax information to receive your government relief payment of $10,000. Click http://secure-update.example/login and complete the secure form within 72 hours."
spam,You qualify for a brand new car lease at unbelievably low monthly rates. Limited slots available. Apply now: http://payment.example/resolve.
ham,"Please find the meeting minutes attached. Action items include: 1) update wireframes, 2) confirm resources, 3) provide timeline estimates by Friday."
spam,"A document has been shared with you via PayPal. To view the file, sign in with your PayPal credentials here: http://claim.example/gift. This link will expire in 48 hours."
ham,"Hi Pat, I reviewed the draft you sent — it looks good overall. I left a few comments in the document; can you check them and update by Tuesday? Thanks!"
ham,Thanks for the quick response. I've implemented the changes and pushed them to the repository. Please pull the branch 'feature/login-fix' and test.
spam,"Earn $10,000/week working from home. No experience required — we provide training. Click http://click.example/offer to register and start immediately. Spots fill up fast!"
ham,"Hello team, reminder: the weekly sync is at 10:00 AM tomorrow. Please come prepared with updates on your tasks. If you cannot attend, let me know in advance."
spam,Get prescription meds shipped discreetly to your door with major discounts. No prescription required — order here: http://secure-update.example/login.
